410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Brix Values,Class
1.357288227,1.557563704,1.108639529,1.429983215,1.050193943,0.832415855,0.96663863,0.861018955,0.697131425,0.389634631,0.378199785,0.204157197,0.282833911,0.35798036,0.46309991,0.471723498,0.33727661,0.424077453,11.25,1
0.943609342,1.396733448,1.209622736,1.576574294,1.200759676,0.942036777,1.172660295,0.907571227,0.745881723,0.407307435,0.418255144,0.161262167,0.303146805,0.384662768,0.493780053,0.470455231,0.325259097,0.425856646,11.325,1
0.924615506,1.2428078,0.922112339,1.099381376,0.635474263,0.279649285,0.3663201,0.410046192,0.61293674,0.658847158,0.676554718,0.229826911,0.050037391,0.179299872,0.409006445,0.433808054,0.32498641,0.409688148,11.4,1
1.041311831,1.457597241,1.254415767,1.413857896,1.186369548,0.889412226,1.015925704,0.752375413,0.636008174,0.463252551,0.567733125,0.217505565,0.186928185,0.274169583,0.373291114,0.339618702,0.284658372,0.384118556,11.425,1
1.092929359,1.401559584,0.999719967,1.345483056,1.002203769,0.721011934,0.908719627,0.728253375,0.569578433,0.3916929,0.494356834,0.190206804,0.21348935,0.302707853,0.421553985,0.457281456,0.304310717,0.390302825,11.475,1
1.25787924,1.618779044,1.194649719,1.563065444,1.129473214,0.875204582,1.128238594,1.097528845,1.023059668,0.686631404,0.738623085,0.331474089,0.2750611,0.39147371,0.480064267,0.452658396,0.299336024,0.408656925,11.475,1
0.856548045,1.231621717,1.009611214,1.21372412,0.870908283,0.659174354,0.71947614,0.491239594,0.451941083,0.373690132,0.445785474,0.120206569,0.153713792,0.246627622,0.399958854,0.431671124,0.323927548,0.411232104,11.5,1
1.045986304,1.308731486,0.938044497,1.272681793,0.90724862,0.709327671,0.800869574,0.649070475,0.507263147,0.340569996,0.284225628,0.171601785,0.264155877,0.311858908,0.419806852,0.454903395,0.361230411,0.438737514,11.825,1
1.231113439,1.339162025,1.01244008,1.153095955,0.79872228,0.58354211,0.513857207,0.350341784,0.352576452,0.211102074,0.275038071,0.145594772,0.239043975,0.298809147,0.403160934,0.46336691,0.32534342,0.398820649,11.825,1
0.800430779,1.278411983,1.058995815,1.468642644,1.05526169,0.822271707,1.039933797,0.804134039,0.7247676,0.459755833,0.572586515,0.186814563,0.246631227,0.346575983,0.475145491,0.468999665,0.309367551,0.420673409,11.85,1
1.263711751,1.50275621,1.183558719,1.463303963,1.142653407,0.930441827,1.026142519,0.856895146,0.663488526,0.470522524,0.46607597,0.231207103,0.260235705,0.339234376,0.469928764,0.480817075,0.341955065,0.433339463,11.925,1
1.02177586,1.359247699,0.997534407,1.374234279,0.969679161,0.850200329,1.106201493,0.780112246,0.592779812,0.259748514,0.508712947,0.128359189,0.313499991,0.422159613,0.576059275,0.658318069,0.302758028,0.393780786,11.975,1
0.922938,1.347202327,1.168243304,1.37865929,1.064178188,0.852349589,0.960439521,0.7551434,0.669478464,0.34048229,0.345179681,0.190831346,0.314386964,0.375970195,0.48020284,0.459825989,0.359116552,0.440531043,12,1
0.994579312,1.438944017,1.116766414,1.475091763,1.124967683,0.899222299,1.078793773,0.917653917,0.778015769,0.500604985,0.537962327,0.241681066,0.246660712,0.342506346,0.44675063,0.418839535,0.321734414,0.419985058,12.025,1
1.122253679,1.454115792,1.252565945,1.380612039,1.03753143,0.833213229,1.038414819,0.857442101,0.696756771,0.408417673,0.31883932,0.183198643,0.276013951,0.359142374,0.458836902,0.436288741,0.319792357,0.410986345,12.025,1
1.02485067,1.419975088,1.175945513,1.432075944,1.055743596,0.89074868,1.051549183,0.777443647,0.588868598,0.340109649,0.410322418,0.145102226,0.254221235,0.348217016,0.469255374,0.462338017,0.311864862,0.408614445,12.05,1
1.310776796,1.560055101,1.341799604,1.499215951,1.334965994,1.155494162,1.173478964,0.876864309,0.473959803,0.433907813,0.32868492,0.167925768,0.107892318,0.193155935,0.292369304,0.248943727,0.291009096,0.404240889,12.075,1
1.19757314,1.458475723,1.452672261,1.524412632,1.384761385,1.316126891,1.21726901,1.007531407,0.677258374,0.564938297,0.320418986,0.24293268,0.081168548,0.154233014,0.164390977,0.081069653,0.164136864,0.245765726,12.13333333,1
1.305387189,1.618404619,1.222765508,1.550316117,1.186706041,0.955438943,1.143497156,1.082070461,0.823107282,0.515823586,0.494436108,0.250499186,0.252443961,0.359837991,0.456680111,0.442063871,0.319252942,0.415538709,12.15,1
0.939123925,1.396944777,1.213224216,1.460276437,1.131291919,0.861622694,1.143169394,0.883122597,0.6611857,0.419288664,0.533533813,0.225544767,0.26831481,0.355781271,0.478918346,0.463923814,0.347406704,0.433509704,12.15,1
1.007635073,1.340458593,1.104127723,1.301972433,1.061598151,0.798988179,0.969022057,0.718009787,0.516691845,0.428202734,0.450335946,0.191159798,0.144423897,0.23496174,0.348152795,0.325056275,0.296983019,0.383801669,12.2,1
1.225634761,1.536481786,1.236459761,1.4145607,1.113163261,0.948093985,1.156366324,0.919190161,0.719166289,0.568661243,0.587661676,0.274303916,0.244917837,0.34283531,0.465299283,0.441922114,0.339005519,0.416486897,12.2,1
0.888505541,1.257476136,0.900842928,1.225628974,0.890271835,0.669492986,0.788395795,0.602685207,0.526576505,0.358587095,0.424081477,0.163764988,0.195040641,0.270251875,0.379305786,0.395544984,0.328067094,0.40891508,12.25,1
1.246728571,1.575541449,1.225910175,1.552174008,1.195240737,0.897694318,1.074546811,0.92451452,0.782705912,0.526560346,0.406413244,0.264459168,0.292999476,0.387426353,0.492124416,0.480453496,0.371053113,0.465524092,12.3,1
1.098857441,1.381144142,1.053659412,1.290662108,0.928636747,0.804279252,1.059832707,0.677144236,0.500681579,0.252967906,0.49011091,0.153860368,0.26921239,0.369000383,0.514981477,0.624223951,0.30357332,0.392266055,12.325,1
0.968259644,1.22231969,1.189951968,1.299972354,1.118834086,0.969365382,0.909053405,0.611319806,0.338680713,0.241632164,0.145407891,0.159365169,0.162983544,0.198185453,0.224291441,0.188579211,0.255616657,0.314893599,12.33333333,1
1.292987549,1.515448118,1.156957219,1.428902808,1.135759179,0.932237399,1.019052701,0.862102773,0.723338768,0.398281121,0.361688351,0.205062735,0.316147014,0.394034687,0.51645519,0.519994669,0.355711484,0.43842881,12.33333333,1
