,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Name,Brix Values,Group
0,1.2565958994513675,1.6835318405876414,1.0611585869586015,1.7354342561663336,1.1532667839940463,0.8081426178850085,1.1412181973544666,1.0222114195575136,0.8923829734548478,0.5788089892625077,0.6786377162151794,0.2943180010270754,0.30938333596238704,0.413230514561871,0.5372082155516483,0.5397008402799939,0.34525473731009304,0.4519102262934644,Tk1_3001_p1,13.7,56
1,1.2745645245638844,1.623671591018037,1.2657228185613087,1.663727494033135,1.2795059922621193,1.0430180226170114,1.1376811663164101,1.0436200387430947,0.9366294766750338,0.5847105223763631,0.6362353453341995,0.27928828316090776,0.3472487361047297,0.431716875099087,0.5552408409035187,0.5424912508512721,0.34747344995801493,0.4481303048561575,Tk1_3001_p2,13.8,56
2,1.352037480002422,1.6213747293693501,1.162368515803863,1.562269853274358,1.1458098205924374,0.9542623456712135,1.0976041194370312,0.9596557326194141,0.8014941693266571,0.48818182894618,0.5531270801666189,0.22630309850709962,0.3103152490351717,0.40777703441515045,0.5285114493293901,0.5388706796202323,0.35706531528107444,0.4553560392044297,Tk1_3001_p3,14.5,56
3,1.4421011639718688,1.670375031183315,1.3054074692009292,1.6147037262364723,1.2471391780563752,1.0997831604795414,1.0818964856694429,0.9297089919442861,0.7517807419700371,0.49257425867363824,0.5869640567327229,0.24691334267084578,0.3057673032458259,0.4022494306571158,0.5324531812612137,0.5300086027235451,0.35318706294019336,0.4443829986426767,Tk1_3001_p4,14.1,56
4,1.2882551069809827,1.4432718138934415,1.109571359569785,1.3442217920640733,1.0431431732722325,0.8624304898489877,0.9239705968370401,0.6946691770558552,0.5332893119333088,0.386669623866367,0.42171899442739275,0.19607830705596,0.22885163959987329,0.30372520384757556,0.45386618351904406,0.4796826170454171,0.34654161620219853,0.43348484266131093,Tk2_3001_p1,11.6,57
5,1.3039634173732124,1.5721609801785796,1.216271049701627,1.5658393686425658,1.1838289796689159,0.9278464756428095,1.0912268907911529,0.9455477044942637,0.7189970884197823,0.5498894443129028,0.5447427719766667,0.285164595820714,0.2548402605663937,0.3491833508244411,0.48460168507407214,0.48780866797087974,0.3446689763033069,0.43329337325875106,Tk2_3001_p2,12.1,57
6,1.3647455892907294,1.6513422262262045,1.3595132155575675,1.6232284488927857,1.3327014379956434,1.1387752026664526,1.1483061926147686,1.0989869777773453,0.8921359021081763,0.597571295917693,0.528858988712454,0.26776894186084477,0.3021866791248327,0.38658942205345603,0.49486292725855757,0.47695888135398856,0.33453325467368283,0.4369458056721668,Tk2_3001_p3,12.2,57
7,1.097882891354242,1.344249821077295,1.048879249355444,1.3199262411295019,1.0109400385711558,0.7927151394160481,0.9410663967570289,0.6883767239803328,0.5095317999350155,0.34795973247636447,0.3689831237045009,0.1758165667566236,0.2550642394159348,0.3174395255424418,0.446384261535257,0.4788181354248729,0.34207641393623445,0.42963383158231216,Tk2_3001_p4,11.8,57
8,1.2426966042334733,1.6147359682718292,1.3119701113558315,1.6610183904913756,1.276196247864779,0.9768595183442857,1.1271252024590317,1.0656669890428034,0.8641076004043927,0.6235378392100451,0.497410712533507,0.2812555281878335,0.28878780957347117,0.3779633498591286,0.47235164185362094,0.45489695716674244,0.3751448661364052,0.46411459309078973,Tk3_3001_p1,13.0,58
9,1.2581945963483798,1.6076003689902534,1.1742093985300464,1.646939390993719,1.196328828637244,0.9262841262075117,1.144784271787667,1.0873680107311543,0.9722791544339923,0.6481460085429142,0.5253791077991816,0.27614885331451167,0.2942891884289252,0.40648702497583294,0.5295158625222725,0.5063724890689171,0.3513367413442466,0.4443829986426767,Tk3_3001_p2,13.2,58
10,1.0894911982187019,1.5373988739193678,1.3209718259259562,1.788701428962312,1.475356362251657,1.055459426097037,1.1282159724911645,1.079824386201242,1.0460216354638217,0.6317615387839244,0.6202761834723504,0.25459097953618065,0.3583544037946997,0.45480843338479726,0.5675045629258726,0.5520172537810081,0.3360755616669311,0.45576323228970933,Tk3_3001_p3,12.4,58
11,1.2744304453323971,1.6890292777850227,1.2904299266877823,1.6146962800180908,1.1826679156194546,0.956057973523245,1.1367551367312456,1.1635930594158832,1.3271149663280353,0.8667640667095051,0.685811423911926,0.3580771472823109,0.33365960190285066,0.45688880767026935,0.5556678264328154,0.528887866852479,0.36065922567495934,0.4596104725694544,Tk3_3001_p4,12.9,58
